code, date, titre, éditeur, source
,1860,Paris au xxe siècle,,
verne_cinq-semaines-ballon,1863,Cinq semaines en ballon,juliettebuc,
verne_voyage-centre-terre,1864,Voyage au centre de la Terre,juliettebuc,http://www.ebooksgratuits.com/details.php?book=605
verne_comte-chanteleine,1864,Le Comte de Chanteleine,elisedelannoy,
verne_terre-lune,1865,De la Terre à la Lune,nination,
,1866,Les Aventures du capitaine Hatteras,,
verne_grant,1868,Les Enfants du capitaine Grant,CoralieDevaux,
,1870,Vingt mille lieues sous les mers,,
verne_autour-lune,1870,Autour de la Lune,elisedelannoy,
verne_ville-flottante,1871,Une ville flottante,annaellemailly,
,1871,Les Forceurs de blocus,,
,1872,Aventures de trois Russes et de trois Anglais dans l'Afrique australe,,
verne_tour-du-monde,1873,Le Tour du monde en quatre-vingts jours,cberne,
,1873,Le Pays des fourrures,,
verne_ile-mysterieuse,1874,L'Île mystérieuse,elisewatteau,
,1875,Le Chancellor,estelledem,
verne_michel-strogoff,1876,Michel Strogoff,IsabelleDanel,
verne_servadac,1877,Hector Servadac,Clarisse12,
verne_indes-noires,1877,Les Indes noires,Sasmy,
verne_capitaine-quinze-ans,1878,Un capitaine de quinze ans,Marie-Rose Ramdhony,http://beq.ebooksgratuits.com/vents/Verne-quinze.pdf 
,1879,Les Cinq Cents Millions de la Bégum,,
verne_tribulations,1879,Les Tribulations d'un Chinois en Chine,MarineCousture,
,1880,La Maison à vapeur,,
verne_chasse,1881,Dix heures en chasse,Marie-Rose Ramdhony,http://beq.ebooksgratuits.com/vents/Verne-chasse.pdf
verne_jangada,1881,La Jangada,nanpire,
Verne_ecole-Robinsons,1882,L'École des Robinsons,Azelop,
verne_rayon-vert,1882,Le Rayon vert,Clarisse12,
,1883,Kéraban-le-Têtu,,
,1884,L'Étoile du sud,,
,1884,L'Archipel en feu,,
,1884,Frritt-Flacc,,
,1885,Mathias Sandorf,,
,1885,L'Épave du Cynthia,,
,1886,Robur le Conquérant,,
verne_billet-loterie,1886,Un billet de loterie,IsabelleDanel,
verne_nord_sud,1887,Nord contre Sud,MarineCousture,
,1887,Le Chemin de France,,
,1887,Gil Braltar,,
verne_deux-ans-vacances,1888,Deux ans de vacances,cberne,
,1889,Famille-sans-nom,,
,1889,Sans dessus dessous,,
,1890,César Cascabel,,
,1891,Mistress Branican,,
,1892,Le Château des Carpathes,,
,1892,Claudius Bombarnac,,
,1893,P'tit-Bonhomme,,
,1894,Mirifiques Aventures de maître Antifer,,
,1895,L'Île à hélice,,
,1896,Face au drapeau,,
verne_clovis-dardentor,1896,Clovis Dardentor,juhvan, 
verne_sphinx-glaces,1897,Le Sphinx des glaces,juhvan,
,1896,Le beau Danube jaune,,
,1897,En Magellanie,,
,1898,Le Superbe Orénoque,,
,1899,Le Volcan d'or,,
verne_testament,1899,Le Testament d'un excentrique,annaellemailly,
verne_seconde-patrie,1900,Seconde patrie,nanpire,
,1901,Le Village aérien,,
,1901,Les Histoires de Jean-Marie Cabidoulin,,
,1901,Le Secret de Wilhelm Storitz,,
,1901,La Chasse au météore,,
,1902,Les Frères Kip,,
,1903,Bourses de voyage,,
,1903,Le Phare du bout du monde,,
verne_livonie,1904,Un drame en Livonie,estelledem,
verne_maitre-du-monde,1904,Maître du Monde,robinbeaudoin,http://beq.ebooksgratuits.com/vents-word/Verne-maitre.doc
,1905,L'Invasion de la mer,nination,
verne_phare_mv,1905,Le Phare du Bout du monde,Cfont17,
,1905,Edom,,
,1906,Le Volcan d'or,,
,1908,Le pilote du Danube,,
,1908,La Chasse au météore,,
,1909,Les Naufragés du Jonathan,,
verne_secret-storitz_mv,1910,Le Secret de Wilhem Storitz,elisewatteau,
,1991,L'Oncle Robinson,,

,1851,Un drame dans les airs (nouvelle),,
,1851,Martin Paz (nouvelle),,
,1854,Maître Zacharius ou l'Horloger qui avait perdu son âme (nouvelle),,
,1855,Un hivernage dans les glaces (nouvelle),,
,1861,Joyeuses misères de trois voyageurs en Scandinavie (inachevé),,
,1872,Une fantaisie du docteur Ox (nouvelle),,
,1876,Un drame au Mexique (nouvelle),,
,1982,Le Mariage de M. Anselme des Tilleuls (nouvelle),,
,1886,La Famille Raton (nouvelle),,
verne_journee_journaliste_americain,1889,La Journée d’un journaliste américain en 2889 (nouvelle),Cfont17,
,1893,M. Ré-Dièze et Mlle Mi-Bémol (nouvelle),,
,1904,Voyage d'étude (inachevé),,
,1910,La Destinée de Jean Morénas (nouvelle),,
,1910,Le Humbug (nouvelle),,
,1910,L'Éternel Adam (nouvelle),,
,1991,Pierre-Jean (nouvelle),,
,1992,Un prêtre en 1839 (inachevé),,
,1993,Jédédias Jamet ou l'histoire d'une succession (inachevé),,
,1993,Le Siège de Rome (nouvelle),,
,1993,San Carlos (nouvelle),,
